@context,@type,name,url,image,description,sku,brand-type,brand-name,offers-type,offers-sku,offers-availability,offers-price,offers-priceCurrency,offers-url
http://schema.org/,Product,FANTASIA HOOKAH FLAVORS HERBAL 50G SHISHA - 10CT,https://awswholesale.com/products/fantasia-hookah-flavors-herbal-50g-shisha-10ct-107463,https://awswholesale.com/cdn/shop/products/107463_5E4play_1000x.jpg?v=1659724629,,107463|4PLAY,"dict_values(['Thing', 'Fantasia'])","dict_values(['Offer', '107463|4PLAY', 'http://schema.org/InStock', 15.75, 'USD', 'https://awswholesale.com/products/fantasia-hookah-flavors-herbal-50g-shisha-10ct-107463?variant=43233643036894'])"
http://schema.org/,Product,SPACE SMOKE HOOKAH PASTE 30G,https://awswholesale.com/products/space-smoke-hookah-paste-30g-106797,https://awswholesale.com/cdn/shop/products/106797_1000x.jpg?v=1652286651,"Space Smoke is an innovative tobacco-free, mineral-based hookah mixed. The product is ready to use, for clogging you only need to apply 10-15gm paste into a bowl, depending on its size. from the very first minutes, you will receive a plentiful amount of smoke and a rich taste that will last throughout the entire smoking period. Ideal to experience a new taste of Hookah.",106797|BLUEBERRY,"dict_values(['Thing', 'Space Smoke'])","dict_values(['Offer', '106797|BLUEBERRY', 'http://schema.org/InStock', 4.75, 'USD', 'https://awswholesale.com/products/space-smoke-hookah-paste-30g-106797?variant=42798775533790'])"
http://schema.org/,Product,KONG HEMP CBD WRAPS - 25CT BOX,https://awswholesale.com/products/kong-hemp-cbd-wraps-25ct-box-100138,https://awswholesale.com/cdn/shop/products/100138_5Eforbiddenfruit_1000x.jpg?v=1643856187,INCLUDES 25 PACKS PER BOX / 2 WRAPS PER PACK,100138|FORBIDDEN FRUIT,"dict_values(['Thing', 'Kong'])","dict_values(['Offer', '100138|FORBIDDEN FRUIT', 'http://schema.org/InStock', 11.5, 'USD', 'https://awswholesale.com/products/kong-hemp-cbd-wraps-25ct-box-100138?variant=42345732800734'])"
http://schema.org/,Product,KING PALM 2PK ROLLIE CONE - 20CT BOX,https://awswholesale.com/products/king-palm-2pk-rollie-cone-20ct-box-104136,https://awswholesale.com/cdn/shop/products/104136_jpg_1000x.jpg?v=1642439687,,104136|CHERRY CHARM,"dict_values(['Thing', 'King Palm'])","dict_values(['Offer', '104136|CHERRY CHARM', 'http://schema.org/InStock', 24.0, 'USD', 'https://awswholesale.com/products/king-palm-2pk-rollie-cone-20ct-box-104136?variant=42346130505950'])"
http://schema.org/,Product,GRAV SANDBLASTED SPOON PIPE,https://awswholesale.com/products/grav-sandblasted-spoon-pipe-107773,https://awswholesale.com/cdn/shop/products/107773_5Eblue_1000x.jpg?v=1669757547,,107773|BLUE,"dict_values(['Thing', 'Grav'])","dict_values(['Offer', '107773|BLUE', 'http://schema.org/InStock', 9.0, 'USD', 'https://awswholesale.com/products/grav-sandblasted-spoon-pipe-107773?variant=43705028411614'])"
http://schema.org/,Product,"CALI CRUSHER OG SLICK 2"" 4PC GRINDER",https://awswholesale.com/products/cali-crusher-og-slick-2-4pc-grinder-108284,https://awswholesale.com/cdn/shop/products/108284_5EBLACK_3000x.jpg?v=1666653046,"CALI CRUSHER OG SLICK 2"" 4-PIECE GRINDER  - Diamond-shaped teeth  - Non-stick  - Textured grip  - Durable aluminum construction  - Scraping tool included",108284|BLACK,"dict_values(['Thing', 'CALI CRUSHER'])","dict_values(['Offer', '108284|BLACK', 'http://schema.org/InStock', 14.0, 'USD', 'https://awswholesale.com/products/cali-crusher-og-slick-2-4pc-grinder-108284?variant=43547018002654'])"
http://schema.org/,Product,RAW PRE-ROLLED TIPS - 200CT BAG,https://awswholesale.com/products/raw-pre-rolled-tips-200ct-bag-103150,https://awswholesale.com/cdn/shop/products/103150_1000x.jpg?v=1642443044,,103150,"dict_values(['Thing', 'RAW'])","dict_values(['Offer', '103150', 'http://schema.org/InStock', 6.25, 'USD', 'https://awswholesale.com/products/raw-pre-rolled-tips-200ct-bag-103150?variant=42349275742430'])"
http://schema.org/,Product,PACKWRAPS x TWISTED HEMP WRAPS - 10CT,https://awswholesale.com/products/packwraps-x-twisted-hemp-wraps-10ct-107469,https://awswholesale.com/cdn/shop/products/107469_5EBANANACREAM_1000x.jpg?v=1659724552,,107469|BANANA CREAM,"dict_values(['Thing', 'Twisted Hemp'])","dict_values(['Offer', '107469|BANANA CREAM', 'http://schema.org/InStock', 27.0, 'USD', 'https://awswholesale.com/products/packwraps-x-twisted-hemp-wraps-10ct-107469?variant=43225621823710'])"
http://schema.org/,Product,RAW PRE-ROLLED 100CT TIPS IN TIN - 6PK DISPLAY BOX,https://awswholesale.com/products/raw-pre-rolled-100ct-tips-in-tin-6pk-display-box-100008,https://awswholesale.com/cdn/shop/products/100008_jpg_1000x.jpg?v=1642201313,,100008,"dict_values(['Thing', 'RAW'])","dict_values(['Offer', '100008', 'http://schema.org/InStock', 19.25, 'USD', 'https://awswholesale.com/products/raw-pre-rolled-100ct-tips-in-tin-6pk-display-box-100008?variant=42346127720670'])"
http://schema.org/,Product,BLAZY SUSAN 1 1/4 CONES - 21 PACK BOX,https://awswholesale.com/products/blazy-susan-1-1-4-cones-21-pack-box-100453,https://awswholesale.com/cdn/shop/products/100453_1000x.jpg?v=1648255506,CONTAINS 21 PACKS PER BOX / 6 1 1/4 SIZED CONES PER PACK,100453,"dict_values(['Thing', 'Blazy Susan'])","dict_values(['Offer', '100453', 'http://schema.org/InStock', 30.0, 'USD', 'https://awswholesale.com/products/blazy-susan-1-1-4-cones-21-pack-box-100453?variant=42355041304798'])"
http://schema.org/,Product,FORMULA 420 ORIGINAL CLEANER - 12OZ,https://awswholesale.com/products/formula-420-original-cleaner-12oz-101185,https://awswholesale.com/cdn/shop/products/101185_jpg_1000x.jpg?v=1642440666,,101185,"dict_values(['Thing', '420'])","dict_values(['Offer', '101185', 'http://schema.org/InStock', 4.5, 'USD', 'https://awswholesale.com/products/formula-420-original-cleaner-12oz-101185?variant=42355757613278'])"
http://schema.org/,Product,RAW CLASSIC 1 1/4 CONES 20PK / 12CT BOX,https://awswholesale.com/products/raw-classic-1-1-4-cones-20pk-12ct-box-106993,https://awswholesale.com/cdn/shop/products/106993_1000x.jpg?v=1655313247,CONTAINS 12 PACKS PER BOX / 20 CONES PER PACK,106993,"dict_values(['Thing', 'Raw'])","dict_values(['Offer', '106993', 'http://schema.org/InStock', 38.25, 'USD', 'https://awswholesale.com/products/raw-classic-1-1-4-cones-20pk-12ct-box-106993?variant=42928793387230'])"
http://schema.org/,Product,BLAZY SUSAN STAINLESS STEEL ROLLING TRAY,https://awswholesale.com/products/blazy-susan-stainless-steel-rolling-tray-105823,https://awswholesale.com/cdn/shop/products/105823_5Epurple_1000x.jpg?v=1644357065,,105823|PURPLE,"dict_values(['Thing', 'Blazy Susan'])","dict_values(['Offer', '105823|PURPLE', 'http://schema.org/InStock', 10.5, 'USD', 'https://awswholesale.com/products/blazy-susan-stainless-steel-rolling-tray-105823?variant=42440175157470'])"
http://schema.org/,Product,GRAV DECO WATER PIPE W/ SILICONE SKIN,https://awswholesale.com/products/grav-deco-water-pipe-w-silicone-skin-108820,https://awswholesale.com/cdn/shop/products/108820_1000x.jpg?v=1671811906,,108820|AVOCADO GREEN,"dict_values(['Thing', 'Grav'])","dict_values(['Offer', '108820|AVOCADO GREEN', 'http://schema.org/InStock', 45.0, 'USD', 'https://awswholesale.com/products/grav-deco-water-pipe-w-silicone-skin-108820?variant=43796183089374'])"
http://schema.org/,Product,RAW ORGANIC HEMP CONES 1 1/4 - 32CT BOX,https://awswholesale.com/products/raw-organic-hemp-cones-1-1-4-32ct-box-103635,https://awswholesale.com/cdn/shop/products/103635_1000x.jpg?v=1644415717,,103635,"dict_values(['Thing', 'Raw'])","dict_values(['Offer', '103635', 'http://schema.org/InStock', 38.0, 'USD', 'https://awswholesale.com/products/raw-organic-hemp-cones-1-1-4-32ct-box-103635?variant=42355663700190'])"
http://schema.org/,Product,GRAV CLASSIC SPOON,https://awswholesale.com/products/grav-classic-spoon-107772,https://awswholesale.com/cdn/shop/products/107772_5Eamber_1000x.jpg?v=1669757528,,107772|BLACK,"dict_values(['Thing', 'Grav'])","dict_values(['Offer', '107772|BLACK', 'http://schema.org/InStock', 9.0, 'USD', 'https://awswholesale.com/products/grav-classic-spoon-107772?variant=43705028247774'])"
http://schema.org/,Product,BLAZY SUSAN ROSE WRAPS 2PK - 25CT BOX,https://awswholesale.com/products/blazy-susan-rose-wraps-2pk-25ct-box-109524,https://awswholesale.com/cdn/shop/products/109524_1000x.jpg?v=1678991533,,109524,"dict_values(['Thing', 'Blazy Susan'])","dict_values(['Offer', '109524', 'http://schema.org/InStock', 22.0, 'USD', 'https://awswholesale.com/products/blazy-susan-rose-wraps-2pk-25ct-box-109524?variant=44060568223966'])"
http://schema.org/,Product,BAKE SALE TERPENE INFUSED HERBAL WRAPS - 25CT,https://awswholesale.com/products/bake-sale-terpene-infused-herbal-wraps-25ct-108255,https://awswholesale.com/cdn/shop/products/108255_5EDETROITCOOKIES_3000x.jpg?v=1670273906,25 PACKS PER BOX / 2 WRAPS PER PACK,108255|DETROIT COOKIES,"dict_values(['Thing', 'BAKE SALE'])","dict_values(['Offer', '108255|DETROIT COOKIES', 'http://schema.org/InStock', 15.0, 'USD', 'https://awswholesale.com/products/bake-sale-terpene-infused-herbal-wraps-25ct-108255?variant=43530177216734'])"
